node   1  (   0,    0) (  12,    3) (  32,    4) (  32,    6) (  52,   21) (  69,   38) (  65,   80) (  72,   87) (  69,   71) (  81,   91)
          ( 107,   83) (  87,   88) (  65,   79) ( 105,   93) (  82,   85) ( 103,   90) (  85,   74) (  65,   87) (  64,   82) (  94,   69)
          ( 123,   83) (  34,   90) ( 119,   86) (  85,   71) (  84,   99) (  95,   95) (  54,   63) (  84,   71) (  91,   90) (  63,   80)
          ( 107,   77) (  72,   95) ( 107,   80) (  60,   82) (  76,   75) (  96,   97) ( 108,   73) (  99,   91) (  52,   85) ( 119,   76)
          (  73,   82) (  84,   78) (  87,   81) (  62,   82) ( 104,   77) (  72,   76) (  94,   83) (  98,   77) (  62,   75) (  82,   89)
          (  91,   92) (  95,   76) (  85,   85) (  77,   96) (  95,   71) (  65,   84) (  56,   70) (  86,   81) (  80,   80) (  60,   58)
          ( 108,   77) (  76,   89) (  67,   67) (  64,   79) (  85,   91) (  81,   65) (  55,   71) (  81,   76) (  73,   60) (  67,   74)
          (  85,   84) (  87,   86) (  77,   65) (  69,   61) (  72,   62) (  59,   75) ( 113,   82) (  62,   61) (  70,   73) (  83,   68)
          ( 115,   80) (  19,   60) (  88,   87) (  75,   77) (  90,   63) (  74,   87) (  61,   67) (  96,   64) (  64,   72) (  70,   65)
          (  84,   83) (  71,   75) (  78,   65) (  87,   78) (  68,   72) ( 102,   79) (  56,   68) (  91,   90) (  87,   77) (  67,   81)
          ( 117,   81) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
